species	latitude	longitude	catalog	pbdb	reference
Dipteronia brownii	43.015	-107.081	uf:15740d-2085		McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Dipteronia brownii	48.652	-118.739	uf:18048-30283		McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Dipteronia brownii	44.738	-120.473	uf:262-30285		McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Dipteronia brownii	52.339	-121.417	gsc:7580b		McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Dipteronia brownii	50.783	-121.133	usask:38-9734	179231	McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Dipteronia brownii	49.35	-120.333	cmn-pb:1827b		McClain AM, Manchester SR (2001) American Journal of Botany 88:1316-1325
Koelreuteria allenii	40.1	-97.8	usnm:p1617		Wang Q et al (2013) American Journal of Botany 100:422-449
Allophylus graciliformis	-51.503	-72.255		mpm:pb:2079-3088	Panit C (2018) Historical Biology 32:252-266.
