# taxon distribution range models
# data save on : 2023-09-25T17:03:33-03:00
taxon	type	age	equator	pixel	density
Acer campestre	points	0	360	6056	1.000000
Acer campestre	points	0	360	6062	1.000000
Acer campestre	points	0	360	6066	1.000000
Acer campestre	points	0	360	6067	1.000000
Acer campestre	points	0	360	6294	1.000000
Acer campestre	points	0	360	6297	1.000000
Acer campestre	points	0	360	6299	1.000000
Acer campestre	points	0	360	6301	1.000000
Acer campestre	points	0	360	6302	1.000000
Acer campestre	points	0	360	6304	1.000000
Acer campestre	points	0	360	6305	1.000000
Acer campestre	points	0	360	6306	1.000000
Acer campestre	points	0	360	6307	1.000000
Acer campestre	points	0	360	6308	1.000000
Acer campestre	points	0	360	6312	1.000000
Acer campestre	points	0	360	6316	1.000000
Acer campestre	points	0	360	6317	1.000000
Acer campestre	points	0	360	6318	1.000000
Acer campestre	points	0	360	6324	1.000000
Acer campestre	points	0	360	6554	1.000000
Acer campestre	points	0	360	6556	1.000000
Acer campestre	points	0	360	6557	1.000000
Acer campestre	points	0	360	6558	1.000000
Acer campestre	points	0	360	6559	1.000000
Acer campestre	points	0	360	6560	1.000000
Acer campestre	points	0	360	6561	1.000000
Acer campestre	points	0	360	6564	1.000000
Acer campestre	points	0	360	6568	1.000000
Acer campestre	points	0	360	6569	1.000000
Acer campestre	points	0	360	6570	1.000000
Acer campestre	points	0	360	6574	1.000000
Acer campestre	points	0	360	6578	1.000000
Acer campestre	points	0	360	6579	1.000000
Acer campestre	points	0	360	6580	1.000000
Acer campestre	points	0	360	6590	1.000000
Acer campestre	points	0	360	6591	1.000000
Acer campestre	points	0	360	6820	1.000000
Acer campestre	points	0	360	6821	1.000000
Acer campestre	points	0	360	6822	1.000000
Acer campestre	points	0	360	6823	1.000000
Acer campestre	points	0	360	6824	1.000000
Acer campestre	points	0	360	6825	1.000000
Acer campestre	points	0	360	6826	1.000000
Acer campestre	points	0	360	6827	1.000000
Acer campestre	points	0	360	6828	1.000000
Acer campestre	points	0	360	6833	1.000000
Acer campestre	points	0	360	6834	1.000000
Acer campestre	points	0	360	6836	1.000000
Acer campestre	points	0	360	6840	1.000000
Acer campestre	points	0	360	6841	1.000000
Acer campestre	points	0	360	6843	1.000000
Acer campestre	points	0	360	6844	1.000000
Acer campestre	points	0	360	6846	1.000000
Acer campestre	points	0	360	6847	1.000000
Acer campestre	points	0	360	6852	1.000000
Acer campestre	points	0	360	6857	1.000000
Acer campestre	points	0	360	6858	1.000000
Acer campestre	points	0	360	6859	1.000000
Acer campestre	points	0	360	6860	1.000000
Acer campestre	points	0	360	6861	1.000000
Acer campestre	points	0	360	6862	1.000000
Acer campestre	points	0	360	7092	1.000000
Acer campestre	points	0	360	7093	1.000000
Acer campestre	points	0	360	7094	1.000000
Acer campestre	points	0	360	7095	1.000000
Acer campestre	points	0	360	7096	1.000000
Acer campestre	points	0	360	7097	1.000000
Acer campestre	points	0	360	7106	1.000000
Acer campestre	points	0	360	7112	1.000000
Acer campestre	points	0	360	7113	1.000000
Acer campestre	points	0	360	7114	1.000000
Acer campestre	points	0	360	7115	1.000000
Acer campestre	points	0	360	7119	1.000000
Acer campestre	points	0	360	7127	1.000000
Acer campestre	points	0	360	7129	1.000000
Acer campestre	points	0	360	7130	1.000000
Acer campestre	points	0	360	7131	1.000000
Acer campestre	points	0	360	7132	1.000000
Acer campestre	points	0	360	7148	1.000000
Acer campestre	points	0	360	7365	1.000000
Acer campestre	points	0	360	7367	1.000000
Acer campestre	points	0	360	7369	1.000000
Acer campestre	points	0	360	7370	1.000000
Acer campestre	points	0	360	7382	1.000000
Acer campestre	points	0	360	7386	1.000000
Acer campestre	points	0	360	7387	1.000000
Acer campestre	points	0	360	7404	1.000000
Acer campestre	points	0	360	7405	1.000000
Acer campestre	points	0	360	7406	1.000000
Acer campestre	points	0	360	7647	1.000000
Acer campestre	points	0	360	7660	1.000000
Acer campestre	points	0	360	7664	1.000000
Acer campestre	points	0	360	7683	1.000000
Acer campestre	points	0	360	7684	1.000000
Acer campestre	points	0	360	7685	1.000000
Acer campestre	points	0	360	7926	1.000000
Acer campestre	points	0	360	7928	1.000000
Acer campestre	points	0	360	7940	1.000000
Acer campestre	points	0	360	7941	1.000000
Acer campestre	points	0	360	7942	1.000000
Acer campestre	points	0	360	7948	1.000000
Acer campestre	points	0	360	8211	1.000000
Acer campestre	points	0	360	8212	1.000000
Acer campestre	points	0	360	8213	1.000000
Acer palmatum	points	0	360	6402	1.000000
Acer palmatum	points	0	360	6403	1.000000
Acer palmatum	points	0	360	6663	1.000000
Acer palmatum	points	0	360	6664	1.000000
Acer palmatum	points	0	360	6665	1.000000
Acer palmatum	points	0	360	6666	1.000000
Acer palmatum	points	0	360	6930	1.000000
