tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	286	4013.791	3903.428	4325.385	0.625	6422.066	333.585	2223.901	0.000	1.000
joyce2023	287	5591.358	5137.623	6082.052	0.625	8946.174	333.585	2223.901	0.000	1.000
joyce2023	288	7198.953	3602.266	10758.352	6.250	1151.832	2022.146	7672.280	0.002	0.398
joyce2023	289	3912.047	1555.197	7355.027	8.125	481.483	2463.381	8979.169	0.134	0.007
joyce2023	290	740.706	121.056	1782.696	0.373	1985.471	222.390	1667.926	0.058	0.040
joyce2023	291	6254.974	3331.851	9430.601	7.752	806.892	2365.707	9003.969	0.003	0.042
joyce2023	292	3584.137	1350.679	6626.374	5.426	660.505	1791.247	7575.615	0.066	0.009
joyce2023	293	1278.146	230.551	2946.496	2.326	549.603	555.975	4003.022	0.119	0.001
joyce2023	294	741.157	124.311	1762.179	0.388	1912.184	222.390	1667.926	0.059	0.037
joyce2023	295	1296.548	225.434	2964.851	1.938	669.019	444.780	3891.827	0.082	0.003
joyce2023	296	1283.667	225.536	2999.052	1.938	662.372	444.780	3669.437	0.086	0.006
