name	author	taxonKey	rank	status	parent
Melicocca triptera	Blanco	3788397	species	synonym	5577447
Tristira pubescens	Merr.	5577451	species	synonym	5577447
Tristiropsis acutangula	Radlk.	3786018	species	accepted	
Tristiropsis obtusangula	Radlk.	3785954	species	synonym	3786018
Tristiropsis ovata	Radlk.	3785950	species	synonym	3786018
Tristiropsis subangula	K.Schum.	3785934	species	synonym	3786018
Tristiropsis subfalcata	Radlk.	3785927	species	synonym	3786018
Tsingya bemarana	Capuron	3785907	species	accepted	
Ungnadia speciosa	Endl.	3190006	species	accepted	
Urvillea ulmacea	Kunth	5421125	species	accepted	
Urvillea berteriana	A.DC.	8774677	species	synonym	5421125
Urvillea dasycarpa	Radlk.	5577328	species	synonym	5421125
Urvillea mexicana	A.Gray	5577244	species	synonym	5421125
Urvillea ulmacea lanceolata	(Cambess.) Radlk.	12276210	unranked	synonym	5421125
Vouarana guianensis	Aubl.	3785403	species	accepted	
Xanthoceras sorbifolium	Bunge	7221300	species	accepted	
Xerospermum noronhianum	(Blume) Blume	9209685	species	accepted	
Xerospermum intermedium	Radlk.	3785307	species	synonym	9209685
Xerospermum lanceolatum	Radlk.	3785292	species	synonym	9209685
Xerospermum muricatum	Radlk.	3785265	species	synonym	9209685
Zanha golungensis	Hiern	3785189	species	accepted	
Zanha vuilletii	A.Chev.	3784825	species	synonym	3785189
Zollingeria borneensis	Adema	5576898	species	accepted	
