tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	205	7612.611	2667.542	14586.857	9.375	812.012	4720.874	14234.471	0.173	0.031
joyce2023	206	3712.779	1150.314	8097.107	4.375	848.635	2190.247	8545.922	0.160	0.017
joyce2023	207	9483.193	3893.460	17552.473	13.750	689.687	6171.828	17303.303	0.174	0.028
joyce2023	208	9631.153	3979.842	17633.274	13.750	700.448	6035.154	17198.747	0.157	0.031
joyce2023	209	1687.598	242.915	4653.213	1.875	900.052	667.170	4447.803	0.131	0.032
joyce2023	210	11487.869	5051.477	20396.514	16.250	706.946	7873.079	19718.419	0.185	0.035
joyce2023	211	2703.736	857.160	5460.388	1.875	1441.993	1548.972	5668.958	0.140	0.018
joyce2023	212	9751.489	3966.598	18038.683	14.375	678.364	6074.204	17513.031	0.159	0.033
joyce2023	213	9842.418	4001.323	18190.574	14.375	684.690	6167.111	17290.662	0.165	0.039
joyce2023	214	2317.270	707.620	4756.248	1.250	1853.816	1217.701	4703.236	0.122	0.028
joyce2023	215	1760.108	245.177	4443.392	1.875	938.724	667.170	4892.583	0.132	0.012
joyce2023	216	18227.066	9364.011	29788.445	32.500	560.833	17982.141	35042.173	0.481	0.004
joyce2023	217	3568.856	1137.210	7318.177	3.750	951.695	2158.715	8118.822	0.173	0.009
joyce2023	218	9052.562	3787.327	16578.862	15.184	596.187	7753.643	19469.353	0.355	0.005
joyce2023	219	8232.839	4054.008	15348.931	13.566	606.878	5730.395	16624.033	0.160	0.012
joyce2023	220	7110.688	2618.360	14522.813	13.566	524.159	5998.765	16557.453	0.360	0.008
joyce2023	221	7035.261	2529.343	13541.606	11.875	592.443	5585.631	15598.796	0.313	0.007
joyce2023	222	10860.522	5275.058	18362.873	16.875	643.586	8063.291	20308.733	0.204	0.009
joyce2023	223	11442.646	6467.235	18889.152	16.250	704.163	7908.917	20075.504	0.093	0.013
joyce2023	224	7567.857	7465.668	9081.576	0.625	12108.572	333.585	2779.877	0.000	1.000
joyce2023	225	8617.420	7434.682	8783.494	0.625	13787.872	333.585	2891.072	0.000	1.000
joyce2023	226	2157.947	317.559	5444.004	3.125	690.543	778.365	5893.339	0.125	0.014
joyce2023	227	9103.545	3888.486	16996.916	15.625	582.627	7802.891	19519.715	0.354	0.007
joyce2023	228	8574.743	4258.422	16775.812	15.625	548.784	7691.957	19488.213	0.391	0.006
joyce2023	229	9278.237	5292.891	17331.134	15.625	593.807	7716.316	19029.411	0.280	0.010
joyce2023	230	6153.408	2428.801	11921.661	9.375	656.364	4580.736	13809.640	0.252	0.006
joyce2023	231	7799.659	3417.509	14883.068	12.500	623.973	6825.983	17456.561	0.376	0.005
joyce2023	232	6131.846	3664.286	12034.446	9.375	654.064	3389.687	12645.979	0.013	0.016
joyce2023	233	5894.705	3246.689	11363.854	9.375	628.769	3583.573	12416.342	0.041	0.014
joyce2023	234	1002.664	125.116	2819.262	0.625	1604.262	333.585	2779.877	0.103	0.028
joyce2023	235	12546.164	6338.296	21526.920	21.250	590.408	10682.322	24794.356	0.330	0.006
joyce2023	236	991.409	123.048	2792.767	0.625	1586.254	333.585	2779.877	0.104	0.026
joyce2023	237	2547.249	750.658	5421.503	1.875	1358.533	1544.060	5617.993	0.177	0.019
joyce2023	238	9701.167	4573.215	18778.072	18.750	517.396	8983.941	21986.495	0.429	0.005
joyce2023	239	1022.276	148.676	2773.506	0.625	1635.642	333.585	2779.877	0.088	0.025
joyce2023	240	9056.269	3797.935	18094.123	18.125	499.656	8568.265	21704.014	0.455	0.004
joyce2023	241	1538.143	238.283	4461.495	1.875	820.343	667.170	4558.998	0.145	0.022
joyce2023	242	11109.404	7361.691	18756.997	16.250	683.656	8145.264	20467.830	0.077	0.010
joyce2023	243	8431.012	3874.991	17002.045	16.250	518.831	8129.875	19936.961	0.465	0.005
joyce2023	244	2118.354	593.169	4581.766	1.250	1694.684	1246.100	4704.292	0.173	0.020
joyce2023	245	1975.992	258.541	5543.304	3.125	632.317	889.561	6226.924	0.178	0.009
joyce2023	246	3062.576	998.123	6813.735	3.125	980.024	1927.489	7291.299	0.183	0.015
joyce2023	247	7585.553	3875.128	14840.341	13.125	577.947	5657.418	16455.447	0.187	0.009
joyce2023	248	1043.041	153.907	2680.996	0.625	1668.866	333.585	2779.877	0.082	0.020
joyce2023	249	5814.245	2547.194	13694.389	12.500	465.140	5365.573	16125.206	0.426	0.006
joyce2023	250	1316.402	222.623	3470.920	1.250	1053.121	555.975	3891.827	0.133	0.012
joyce2023	251	5325.569	2211.676	12826.774	11.250	473.384	5314.377	15183.503	0.498	0.006
joyce2023	252	2912.524	987.532	6269.700	3.125	932.008	1915.263	7528.911	0.194	0.006
joyce2023	253	4682.557	2391.157	10477.486	8.125	576.315	3037.169	11643.501	0.106	0.010
joyce2023	254	1492.357	237.637	3970.003	1.875	795.924	555.975	4781.388	0.105	0.008
joyce2023	255	3106.598	1155.886	7136.407	6.250	497.056	2808.567	9912.340	0.401	0.003
joyce2023	256	3857.682	1780.030	7549.423	6.250	617.229	2446.336	10025.005	0.094	0.005
joyce2023	257	3393.415	1076.949	7918.660	5.625	603.274	2346.632	9214.808	0.235	0.007
joyce2023	258	2707.861	874.261	5741.270	2.500	1083.144	1669.508	6494.746	0.169	0.009
joyce2023	259	4200.639	1937.328	9984.260	8.125	517.002	3122.077	11569.018	0.199	0.010
joyce2023	260	1495.939	235.054	4060.187	1.875	797.834	555.975	4781.388	0.106	0.008
joyce2023	261	3083.079	1171.180	7637.575	6.250	493.293	2641.099	9667.617	0.359	0.006
joyce2023	262	3131.776	1112.169	7506.245	6.250	501.084	2485.031	9907.908	0.306	0.003
joyce2023	263	3266.941	920.272	7175.673	5.000	653.388	1971.252	8906.961	0.181	0.003
joyce2023	264	3974.916	2087.046	7963.360	5.625	706.652	2073.876	8909.001	0.024	0.007
joyce2023	265	2713.548	631.175	6034.129	1.875	1447.226	1416.407	5691.067	0.161	0.039
joyce2023	266	2406.557	1335.776	4265.346	3.750	641.748	778.365	6560.509	0.019	0.001
joyce2023	267	2428.653	1337.228	4291.172	3.750	647.641	889.561	6894.094	0.021	0.000
joyce2023	268	1529.960	206.503	4364.889	1.250	1223.968	444.780	4003.022	0.097	0.046
joyce2023	269	996.324	121.357	2929.465	0.625	1594.119	444.780	2779.877	0.173	0.035
joyce2023	270	3073.353	869.854	6696.597	3.125	983.473	1778.916	6995.875	0.171	0.017
joyce2023	271	7043.681	2598.874	14894.114	14.375	489.995	5756.349	17190.789	0.347	0.007
joyce2023	272	7096.215	2683.248	14947.863	14.375	493.650	6096.856	17370.384	0.379	0.007
joyce2023	273	3073.473	865.558	6703.124	3.125	983.511	1707.658	7235.239	0.159	0.012
joyce2023	274	7119.630	2670.818	14926.349	14.375	495.279	6156.976	17512.495	0.382	0.005
joyce2023	275	1582.322	222.602	4601.914	1.875	843.905	667.170	4670.193	0.155	0.023
joyce2023	276	6323.075	2477.891	13908.581	12.500	505.846	5652.900	16199.289	0.412	0.006
joyce2023	277	7369.767	3615.887	14363.983	12.500	589.581	5822.406	16308.407	0.262	0.007
joyce2023	278	3896.125	546.150	7131.397	2.500	1558.450	667.170	5226.168	0.035	0.228
joyce2023	279	12307.522	8938.030	19781.111	15.625	787.681	7481.620	19012.421	0.003	0.034
joyce2023	280	2224.404	677.919	4549.514	1.250	1779.523	1347.052	4746.209	0.167	0.018
joyce2023	281	2156.277	210.176	4829.942	2.500	862.511	667.170	5559.753	0.150	0.012
joyce2023	282	4215.154	960.361	9565.631	4.898	860.542	2359.383	9339.098	0.152	0.030
joyce2023	283	7876.467	2981.506	12251.806	6.977	1128.960	2717.901	10686.436	0.017	0.104
joyce2023	284	7811.341	2938.600	12166.650	6.977	1119.626	2943.537	10689.186	0.025	0.096
joyce2023	285	10218.817	5909.076	15625.561	11.250	908.339	5114.561	15069.925	0.009	0.037
joyce2023	286	4093.801	3884.765	6969.113	0.625	6550.082	333.585	2779.877	0.000	0.999
joyce2023	287	5602.717	2916.579	7484.974	0.625	8964.348	333.585	2891.072	0.000	0.979
joyce2023	288	7484.420	3199.558	11696.820	6.250	1197.507	2669.454	9819.336	0.013	0.141
joyce2023	289	4354.417	1661.916	9581.598	8.125	535.928	3041.979	11811.228	0.204	0.007
joyce2023	290	893.888	138.740	2239.723	0.373	2396.077	222.390	2223.901	0.044	0.027
joyce2023	291	6821.391	3590.399	11083.058	7.752	879.960	3070.788	11156.435	0.010	0.023
joyce2023	292	3986.538	1446.060	8192.905	5.426	734.662	2471.778	9462.792	0.149	0.009
joyce2023	293	1493.785	266.790	3440.163	2.326	642.328	555.975	5226.168	0.093	0.001
joyce2023	294	921.227	167.073	2211.944	0.388	2376.766	333.585	2223.901	0.087	0.024
joyce2023	295	1542.932	265.036	3503.238	1.938	796.153	778.365	4670.193	0.168	0.002
joyce2023	296	1501.948	264.676	3602.198	1.938	775.005	555.975	4781.388	0.096	0.002
